"id","version","crossreferencet","definitiond","entrya","nounadjplurale","nounadjpluralsyllf","partofspeechc","sentenceenglishs","sentenceq","sentencesyllr","syllabaryb","vfirstpresg","vfirstpresh","vsecondimperm","vsecondimpersylln","vthirdinfo","vthirdinfsyllp","vthirdpasti","vthirdpastsyllj","vthirdpresk","vthirdpressylll","entrytranslit","nounadjpluraltranslit","sentencetranslit","vfirstprestranslit","vsecondimpertranslit","vthirdinftranslit","vthirdpasttranslit","vthirdprestranslit","entrytone","nounadjpluraltone","vfirstprestone","vsecondimpertone","vthirdinftone","vthirdpasttone","vthirdprestone","source","definitionlarge","etymology","category","notes","modified"
72181,1,"","third person animate (see Gram. II, A)","a-","","","n. pref.","","","","","","","","","","","","","","","","","","","","","","","a-","","","","","","","ced","","","","","2018-12-22 15:42:10"
72182,1,"","third person subject (see Gram. I, B)","a-","","","v. pref.","","","","","","","","","","","","","","","","","","","","","","","a-","","","","","","","ced","","","","","2018-12-22 15:42:10"
72183,1,"","present tense (see Gram. I, D)","-a","","","v. suf","","","","","","","","","","","","","","","","","","","","","","","-a","","","","","","","ced","","","","","2018-12-22 15:42:11"
72184,3,"","boy","achuja","anichuja","ᎠᏂᏧᏣ","n","The <u>boys</u> are playing ball.","Na <u>anichuja</u> sgwahlesdi dananelohvsga.","Ꮎ <u>ᎠᏂᏧᏣ</u> ᏍᏆᏞᏍᏗ ᏓᎾᏁᎶᎲᏍᎦ.","ᎠᏧᏣ","","","","","","","","","","","atsutsa","anitsutsa","na anitsutsa squatlesdi dananelohvsga","","","","","","a.2chu4ja","a.2ni2chu4ja","","","","","","ced","","","","","2018-12-22 15:42:11"
72185,1,"julichvyasdi","male (animal)","achvya","anichvya","ᎠᏂᏨᏯ","n","<u>Roosters</u> crow at dawn.","Jitaga <u>anichvya</u> ugitsdeyi anayhgoi.","ᏥᏔᎦ <u>ᎠᏂᏨᏯ</u> ᎤᎩᏥᏍᏕᏱ ᎠᎾᏴᎪᎢ.","ᎠᏨᏯ","","","","","","","","","","","atsvya","anitsvya","tsitaga anitsvya ugitsisdeyi anayvgoi","","","","","","a.2chv2ya","a.2ni2chv2ya","","","","","","ced","","","","","2018-12-22 15:42:11"
72186,1,"","wood","ada","","","n","How much does one rick of <u>wood</u> cost?","Hila jugvwahldi sagwu igasvti <u>ada</u>?","ᎯᎳ ᏧᎬᏩᎶᏗ ᏌᏊ ᎢᎦᏒᏘ <u>ᎠᏓ</u>?","ᎠᏓ","","","","","","","","","","","ada","","hila tsugvwalodi saquu igasvti ada","","","","","","a.2da","","","","","","","ced","","","","","2018-12-22 15:42:11"
72187,1,"agina","young animal (animal born in litter or hatched)","ada","anida","ᎠᏂᏓ","n","He's thinking about raising <u>chicks</u>.","Jitaga <u>anida</u> jutvhisdohdi adanhteha.","ᏥᏔᎦ <u>ᎠᏂᏓ</u> ᏧᏛᎯᏍᏙᏗ ᎠᏓᏅᏖᎭ.","ᎠᏓ","","","","","","","","","","","ada","anida","tsitaga anida tsudvhisdodi adanvteha","","","","","","a.?4da","a.2ni4da","","","","","","ced","","","","","2018-12-22 15:42:11"
72188,1,"adadega (limp), adadinvdiha","it's bouncing","adadega","","","vi","When he threw the ball down, <u>it bounced</u>.","Eladi wudina sgwahlesdi <u>udadinvsvi</u>.","ᎡᎳᏗ ᏭᏗᎾ ᏍᏆᏞᏍᏗ <u>ᎤᏓᏗᏅᏒᎢ</u>.","ᎠᏓᏕᎦ","gadadega","ᎦᏓᏕᎦ","hadaduga","ᎭᏓᏚᎦ","udadinvdi","ᎤᏓᏗᏅᏗ","udadinvsvi","ᎤᏓᏗᏅᏒᎢ","adadegoi","ᎠᏓᏕᎪᎢ","adadega","","eladi wudina squatlesdi udadinvsvi","gadadega","hadatuga","udadinvdi","udadinvsvi","adadegoi","a1da.2de3ga","","ga.2da.2de3ga","ha.2da.2du1ga","u2da.2di23nv32di","u1da.2di23nv32sv23?i","a1da.2de3go3?i","ced","","","","","2018-12-22 15:42:11"
72189,2,"adadega (bounce)","he's limping","adadega","","","vi","I see a lame man <u>limping</u>.","Ayouhlia asgaya <u>adadegv</u> jigowhtiha.","ᎠᏲᎤᏟᎠ ᎠᏍᎦᏯ <u>ᎠᏓᏕᎬ</u> ᏥᎪᏮᏘᎭ.","ᎠᏓᏕᎦ","gadadega","ᎦᏓᏕᎦ","hadaduga","ᎭᏓᏚᎦ","udadinvdi","ᎤᏓᏗᏅᏗ","udadesvi","ᎤᏓᏕᏒᎢ","adadegoi","ᎠᏓᏕᎪᎢ","adadega","","ayoutlia asgaya adadegv tsigowvtiha","gadadega","hadatuga","udadinvdi","udadinvsvi","adadegoi","a1da.2de3ga","","ga.2da.2de3ga","ha.2da.2du1ga","u2da.2di23nv32di","u1da.2de3sv23?i","a1da2de3go3?i","ced","","","","","2018-12-22 15:42:11"
72190,1,"adadega (bounce)","he's bouncing it","adadinvdiha","","","vt","The ball player is <u>bouncing</u> the ball hard.","Na alasgalisgi sdayi <u>adadinvdiha</u> sgwahlesdi.","Ꮎ ᎠᎳᏍᎦᎵᏍᎩ ᏍᏓᏱ <u>ᎠᏓᏗᏅᏗᎭ</u> ᏍᏆᏞᏍᏗ.","ᎠᏓᏗᏅᏗᎭ","gadadinvdiha","ᎦᏓᏗᏅᏗᎭ","hadadinvda","ᎭᏓᏗᏅᏓ","udadinvdohdi","ᎤᏓᏗᏅᏙᏗ","udadinvtanvi","ᎤᏓᏗᏅᏔᏅᎢ","adadinvdisgoi","ᎠᏓᏗᏅᏗᏍᎪᎢ","adadinvdiha","","na alasgalisgi sdayi adadinvdiha squatlesdi","gadadinvdiha","hadadinvda","udadinvdodi","udadinvtanvi","adadinvdisgoi","a1da.2di23nv32di.2ha","","ga.2da.2di23nv32di.2ha","ha.2da.2di23nv1da","u2da.2di23nv32doh2di","u1da.2di23nv32ta.2nv23?i","a1da2di23nv32di2sgo3?i","ced","","","","","2018-12-22 15:42:11"
