"id","version","crossreferencet","definitiond","entrya","nounadjplurale","nounadjpluralsyllf","partofspeechc","sentenceenglishs","sentenceq","sentencesyllr","syllabaryb","vfirstpresg","vfirstpresh","vsecondimperm","vsecondimpersylln","vthirdinfo","vthirdinfsyllp","vthirdpasti","vthirdpastsyllj","vthirdpresk","vthirdpressylll","entrytranslit","nounadjpluraltranslit","sentencetranslit","vfirstprestranslit","vsecondimpertranslit","vthirdinftranslit","vthirdpasttranslit","vthirdprestranslit","entrytone","nounadjpluraltone","vfirstprestone","vsecondimpertone","vthirdinftone","vthirdpasttone","vthirdprestone","source","definitionlarge","etymology","category","notes","modified"
124785,0,"","abandon","diyohisdi","","","","","","","ᏗᏲᎯᏍᏗ","","","","","","","","","","","","","","","","","","","","","","","","","","cnoS","","","","https://data.cherokee.org/Cherokee/LexiconSoundFiles/Abandon.mp3","2020-10-11 17:38:11"
124786,0,"","abandoned","duyosvgi","","","","","","","ᏚᏲᏒᎩ","","","","","","","","","","","","","","","","","","","","","","","","","","cnoS","","","","https://data.cherokee.org/Cherokee/LexiconSoundFiles/Abandoned.mp3","2020-10-11 17:38:11"
124787,0,"","abase","eladiigvnododi","","","","","","","ᎡᎳᏗᎢᎬᏃᏙᏗ","","","","","","","","","","","","","","","","","","","","","","","","","","cnoS","","","","https://data.cherokee.org/Cherokee/LexiconSoundFiles/Abase.mp3","2020-10-11 17:38:11"
124788,0,"","abasement","eladinanvenehv","","","","","","","ᎡᎳᏗᎾᏅᎡᏁᎲ","","","","","","","","","","","","","","","","","","","","","","","","","","cnoS","","","","https://data.cherokee.org/Cherokee/LexiconSoundFiles/Abasement.mp3","2020-10-11 17:38:11"
124789,0,"","abate","adadisvsedi","","","","","","","ᎠᏓᏗᏒᏎᏗ","","","","","","","","","","","","","","","","","","","","","","","","","","cnoS","","","","https://data.cherokee.org/Cherokee/LexiconSoundFiles/Abate.mp3","2020-10-11 17:38:11"
124790,0,"","abdicate","usulagotsvgi","","","","","","","ᎤᏑᎳᎪᏨᎩ","","","","","","","","","","","","","","","","","","","","","","","","","","cnoS","","","","https://data.cherokee.org/Cherokee/LexiconSoundFiles/Abdicate.mp3","2020-10-11 17:38:11"
124791,0,"","abdication","asulagogvi","","","","","","","ᎠᏑᎳᎪᎬᎢ","","","","","","","","","","","","","","","","","","","","","","","","","","cnoS","","","","https://data.cherokee.org/Cherokee/LexiconSoundFiles/Abdication.mp3","2020-10-11 17:38:11"
124792,0,"","abdomen","usquoli","","","","","","","ᎤᏍᏉᎵ","","","","","","","","","","","","","","","","","","","","","","","","","","cnoS","","","","https://data.cherokee.org/Cherokee/LexiconSoundFiles/Abdomen.mp3","2020-10-11 17:38:11"
124793,0,"","abduct","adatihnawidvdi","","","","","","","ᎠᏓᏘᎿᏫᏛᏗ","","","","","","","","","","","","","","","","","","","","","","","","","","cnoS","","","","https://data.cherokee.org/Cherokee/LexiconSoundFiles/Abduct.mp3","2020-10-11 17:38:11"
124794,0,"","abduction","agatihnawidisgv","","","","","","","ᎠᎦᏘᎿᏫᏗᏍᎬ","","","","","","","","","","","","","","","","","","","","","","","","","","cnoS","","","","https://data.cherokee.org/Cherokee/LexiconSoundFiles/Abduction.mp3","2020-10-11 17:38:11"
124795,0,"","abet","adaniladedi","","","","","","","ᎠᏓᏂᎳᏕᏗ","","","","","","","","","","","","","","","","","","","","","","","","","","cnoS","","","","https://data.cherokee.org/Cherokee/LexiconSoundFiles/Abet.mp3","2020-10-11 17:38:11"
124796,0,"","abettor","adaniladehi","","","","","","","ᎠᏓᏂᎳᏕᎯ","","","","","","","","","","","","","","","","","","","","","","","","","","cnoS","","","","https://data.cherokee.org/Cherokee/LexiconSoundFiles/Abettor.mp3","2020-10-11 17:38:11"
124797,0,"","abhor","ganayehisdi","","","","","","","ᎦᎾᏰᎯᏍᏗ","","","","","","","","","","","","","","","","","","","","","","","","","","cnoS","","","","https://data.cherokee.org/Cherokee/LexiconSoundFiles/Abhor.mp3","2020-10-11 17:38:11"
124798,0,"","abhorrence","aninayesgv","","","","","","","ᎠᏂᎾᏰᏍᎬ","","","","","","","","","","","","","","","","","","","","","","","","","","cnoS","","","","https://data.cherokee.org/Cherokee/LexiconSoundFiles/Abhorrence.mp3","2020-10-11 17:38:11"
124799,0,"","abide","adagatidisdi","","","","","","","ᎠᏓᎦᏘᏗᏍᏗ","","","","","","","","","","","","","","","","","","","","","","","","","","cnoS","","","","https://data.cherokee.org/Cherokee/LexiconSoundFiles/Abide.mp3","2020-10-11 17:38:11"
