"id","version","crossreferencet","definitiond","entrya","nounadjplurale","nounadjpluralsyllf","partofspeechc","sentenceenglishs","sentenceq","sentencesyllr","syllabaryb","vfirstpresg","vfirstpresh","vsecondimperm","vsecondimpersylln","vthirdinfo","vthirdinfsyllp","vthirdpasti","vthirdpastsyllj","vthirdpresk","vthirdpressylll","entrytranslit","nounadjpluraltranslit","sentencetranslit","vfirstprestranslit","vsecondimpertranslit","vthirdinftranslit","vthirdpasttranslit","vthirdprestranslit","entrytone","nounadjpluraltone","vfirstprestone","vsecondimpertone","vthirdinftone","vthirdpasttone","vthirdprestone","source","definitionlarge","etymology","category","notes","modified"
99715,2,"","He is walking","ai","","","vi","“He <u>was walking</u> in the fields.”","[ᏧᏁᎶᏗ ᏚᏂᎩᏒᏒᎢ]","ᎢᎾᎨ <u>ᎠᎢᏒᎩ</u>.","ᎠᎢ","gai","ᎦᎢ","","-","","-","","-","aisoi","ᎠᎢᏐᎢ","ai","","inage <u>aisvgi</u>.","gai","","","","aisoi","aɂi","","gaɂi","","","","aɂiso³ɂi","rrd","","","","","2019-12-09 12:15:53"
99716,1,"","He is placing it (a solid) on the ground","avsga","","","vt","","","","ᎠᎥᏍᎦ","tsivsga","ᏥᎥᏍᎦ","hivga","ᎯᎥᎦ","uvsdi","ᎤᎥᏍᏗ","unvi","ᎤᏅᎢ","avsgoi","ᎠᎥᏍᎪᎢ","avsga","","","tsivsga","hivga","uvsdi","unvi","avsgoi","ạɂvsga","","tsịɂṿɂsga","hịɂvga","uɂvsdi","uɂnv²³ɂi","ạɂvsgo³ɂi","rrd","","","","","2018-12-22 15:20:35"
99717,2,"","He is handing it (a solid) to him","avsi","","","vt","Jesus answereth, ‘That one it is to whom I, having dipped the morsel, <u>shall give it</u>;’ and having dipped the morsel, <u>he giveth [it]</u> to Judas of Simon, Iscariot.","[ᏣᏂ 13:26]","ᏥᏌ ᎤᏁᏨᎩ; ᎾᏍᎩ ᎨᏎᏍᏗ ᎠᎬᎭᎸᏛ <u>ᏥᏁᎸᎭ</u> ᎾᏍᎩ ᎠᏊᏅᎯ ᎨᏎᏍᏗ. ᎤᏭᏅᏃ ᎠᎬᎭᎸᏛ <u>ᎤᏁᎸᎩ</u> ᏧᏓᏏ ᎢᏍᎦᎳᏗ ᏌᏩᏂ ᎤᏪᏥ.","ᎠᎥᏏ","tsivsi","ᏥᎥᏏ","hivsi","ᎯᎥᏏ","unhdi","ᎤᏁᏗ","unelvi","ᎤᏁᎸᎢ","anehoi","ᎠᏁᎰᎢ","avsi","","tsisa unetsvgi; nasgi gesesdi agvhalvdv <u>tsinelvha</u> nasgi aquunvhi gesesdi. uwunvno agvhalvdv <u>unelvgi</u> tsudasi isgaladi sawani uwetsi.","tsivsi","hivsi","unedi","unelvi","anehoi","ạɂvsi","","tsiɂṿɂsi","hiɂṿɂsi","uɂnhdi","uɂnẹlv²³ɂi","ạɂneho³ɂi","rrd","","","","","2019-12-09 12:15:53"
99718,2,"","It (the sun) is shining","agaliha","","","vi","… and then when <u>it is shined on by the sun</u> the water is dried by the sun.","[ᏣᎳᎩ ᏔᎵᏁ ᏗᏂᏂᏙᎯ ᏗᏕᏲᏙᏗ]","… ᏃᏊᎴ <u>ᎤᎦᎵᏍᎬ</u> ᎠᎧᏲᏗᏍᎪᎢ ᎠᎹ.","ᎠᎦᎵᎭ","","-","wagalihi","ᏩᎦᎵᎯ","ugalihisdi","ᎤᎦᎵᎯᏍᏗ","ugalihsvi","ᎤᎦᎵᏒᎢ","agalihsgoi","ᎠᎦᎵᏍᎪᎢ","agaliha","","… noquule <u>ugalisgv</u> akayodisgoi ama.","","wagalihi","ugalihisdi","ugalisvi","agalisgoi","ạgalị³ha","","","wạgalị³hi","ugalị³hịsdi","ugalih³sv²³ɂi","ạgalih³sgo³ɂi","rrd","","","","","2019-12-09 12:15:53"
99719,1,"","He is cutting it (something flexible) off","agalisga","","","vt","","","","ᎠᎦᎵᏍᎦ","tsigalisga","ᏥᎦᎵᏍᎦ","higaliga","ᎯᎦᎵᎦ","ugalisdi","ᎤᎦᎵᏍᏗ","ugalisvi","ᎤᎦᎵᏒᎢ","agalisgoi","ᎠᎦᎵᏍᎪᎢ","agalisga","","","tsigalisga","higaliga","ugalisdi","ugalisvi","agalisgoi","ạgạɂlisga","","tsịgạɂlịɂsga","hịgạɂliga","ugạɂlisdi","ugạɂlisv²³ɂi","ạgạɂlisgo³ɂi","rrd","","","","","2018-12-22 15:20:35"
99720,1,"","Heater","aganawohisdi","","","n","","","","ᎠᎦᎾᏬᎯᏍᏗ","","","","","","","","","","","aganawohisdi","","","","","","","","ạganạwọhịsdi","","","","","","","rrd","","","","","2018-12-22 15:20:35"
99721,1,"","Button","aganesdi","","","n","","","","ᎠᎦᏁᏍᏗ","","","","","","","","","","","aganesdi","","","","","","","","agạnesdi","","","","","","","rrd","","","","","2018-12-22 15:20:35"
99722,1,"","Rain","agasgi","","","n","","","","ᎠᎦᏍᎩ","","","","","","","","","","","agasgi","","","","","","","","agạsgi","","","","","","","rrd","","","","","2018-12-22 15:20:35"
99723,1,"","His left.; Left-handedness","aksgvnida","","","n","","","","ᎠᎦᏍᎬᏂᏓ","","","","","","","","","","","agasgvnida","","","","","","","","ạksgṿnida","","","","","","","rrd","","","","","2018-12-22 15:20:35"
99724,1,"","He is going down hill","agasohdiha","","","vi","","","","ᎠᎦᏐᏗᎭ","gagasodiha","ᎦᎦᏐᏗᎭ","hagasohda","ᎭᎦᏐᏓ","ugasohdohdi","ᎤᎦᏐᏙᏗ","ugasohtanvi","ᎤᎦᏐᏔᏅᎢ","agasohdisgoi","ᎠᎦᏐᏗᏍᎪᎢ","agasodiha","","","gagasodiha","hagasoda","ugasododi","ugasotanvi","agasodisgoi","agạsoh³dịha","","gagạsọɂdịha","hagạsoh³da","ugạsoh³dohdi","ugạsoh³tạnv²³ɂi","agạsoh³dịsgo³ɂi","rrd","","","","","2018-12-22 15:20:36"
99725,1,"","Much","agada","","","pt","","","","ᎠᎦᏓ","","","","","","","","","","","agada","","","","","","","","ạgada","","","","","","","rrd","","","","","2018-12-22 15:20:36"
